flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
[J-8]x con,Air,26,2907,210825.8006939995,0.9505814683371134,0.04941853276198918,X,0.0002487354008611874,0.04146878432799994
[J-8]x con,Gutshot,26,672,43510.12571000002,0.8103671651858559,0.1896328340799825,X,6.573935949094251e-05,0.04600634905000014
[J-8]x con,OESD,24,292,16192.388251999995,0.8071056119378306,0.19289437590939154,X,6.449562395443963e-05,0.014014367100000058
[J-8]x con,Two pair+,26,386,20202.388049999994,0.7681889068642372,0.23181109125986088,X,8.858892140423623e-05,0.057577921710000625
[J-8]x con,Third pair,26,183,10130.457714,0.9316766929487179,0.06832333803418805,X,2.7448545376020202e-05,0.10913628923999993
[J-8]x con,Second pair,26,252,13284.764246000006,0.9252599515943458,0.07474005588428666,X,8.790194207555081e-07,0.000543994159999528
[J-8]x con,Top pair,26,819,52021.27320199998,0.9332608951676529,0.06673910311355312,X,0.00020063221406069442,0.010861515759999918
[J-8]x con,Overpair,26,672,60592.31399999997,0.8759087764957267,0.12409121538461537,X,9.517535598624649e-05,0.010780813199998818
[J-8]x con,Underpair,22,444,34475.06429999998,0.9562155547799424,0.043784417568542566,X,4.11548302798469e-06,0.0005274527999999279
[J-8]x con,2 overcards + BDFD,25,489,43910.690300000075,0.9015507262222222,0.09844926044444445,X,0.00016600045936474746,0.020119024000000076
[J-8]x dis,Weak pair,67,1602,48487.17807999973,0.953211450248756,0.046788543905472636,X,1.1945642884919899e-05,0.004247731543999933
[J-8]x dis,Air,67,8152,601593.2303340004,0.9114604698245011,0.088539528898218,X,0.00033539360671565175,0.06836882378899985
[J-8]x dis,Gutshot,66,1344,77946.92200200015,0.7838200080545714,0.21617999633783716,X,7.8819565830516e-05,0.04315269553999954
[J-8]x dis,Third pair,67,390,22506.12793999999,0.8685304838308455,0.1314695233830846,X,0.0002644073075632777,0.015501095599999992
[J-8]x dis,OESD,53,556,20855.555292000012,0.8022180557801738,0.19778194579215325,X,2.5380091302058278e-05,0.05575264049999902
[J-8]x dis,Two pair+,67,691,39326.46225199993,0.6525630276612274,0.34743697415022784,X,0.0004624638398516523,0.38475113039999653
[J-8]x dis,Second pair,67,882,41092.36178000005,0.8898559762023216,0.11014402918739637,X,2.1041266755900623e-05,0.025809435840000106
[J-8]x dis,Underpair,52,726,64612.43470000001,0.9439003147970081,0.05609968749999998,X,4.038264787749037e-05,0.002156252700000039
[J-8]x dis,Top pair,67,2190,140103.62165000034,0.9097896641645254,0.09021034345124193,X,0.0003408316779835364,0.026187720899999788
[J-8]x dis,Overpair,67,1692,152412.49799999988,0.8197411904643451,0.1802588055970149,X,0.00019347114153569258,0.022357327979999297
[J-8]x dis,2 overcards + BDFD,67,1260,113116.87650000022,0.9182164603885336,0.08178354028271342,X,7.044666778005278e-06,0.002254877400000055
[7-4]x,Weak pair,16,180,1715.445640000001,0.9997294166666667,0.00027058333333333334,X,0.0,0.0
[7-4]x,Air,20,2368,168125.47635399943,0.9984144433294146,0.0015855566840874565,X,3.275100199076451e-07,0.0002943832710000649
[7-4]x,Gutshot,20,604,45959.79483799996,0.9778965314525692,0.022103478282279314,X,2.4755256355243737e-06,0.04032306954000013
[7-4]x,Third pair,20,69,5430.4902,0.9933368749999998,0.006663141666666666,X,0.0,0.0
[7-4]x,OESD,17,140,6952.487323999995,0.8959623982843139,0.10403761029411765,X,7.3679455179361375e-06,0.07939716502000067
[7-4]x,Two pair+,20,252,9229.648952000005,0.9052105208398104,0.09478948493862174,X,3.934019433628204e-07,2.8469499997640924e-05
[7-4]x,Second pair,20,144,8155.479838000001,0.9933515847222223,0.006648405555555554,X,0.0,0.0
[7-4]x,Top pair,20,225,9829.294805999998,0.9889007275000002,0.011099291944444447,X,0.0,0.0
[7-4]x,Overpair,20,930,87384.93240000025,0.9890925740972222,0.010907423802910052,X,4.282478554089678e-09,3.886710000244875e-06
[7-4]x,2 overcards + BDFD,20,1008,81567.18266200005,0.9875835980347747,0.012416404302170784,X,4.691221373611924e-07,0.0007934989499998934
[7-4]x,Underpair,10,90,3413.050499999997,0.9951798972222223,0.004820138888888889,X,0.0,0.0
